TOP.6144e472.0007cdfe	START
TOP.6144ec52.00063d22	user_options->outfile_autohex	1
TOP.6144ec52.00063d22	user_options->outfile_check_timer	5
TOP.6144ec52.00063d22	user_options->outfile_format	3
TOP.6144ec52.00063d22	user_options->wordlist_autohex_disable	0
TOP.6144ec52.00063d22	user_options->potfile_disable	0
TOP.6144ec52.00063d22	user_options->progress_only	0
TOP.6144ec52.00063d22	user_options->quiet	0
TOP.6144ec52.00063d22	user_options->remove	0
TOP.6144ec52.00063d22	user_options->remove_timer	60
TOP.6144ec52.00063d22	user_options->restore	0
TOP.6144ec52.00063d22	user_options->restore_disable	0
TOP.6144ec52.00063d22	user_options->restore_timer	60
TOP.6144ec52.00063d22	user_options->rp_files_cnt	0
TOP.6144ec52.00063d22	user_options->rp_gen	0
TOP.6144ec52.00063d22	user_options->rp_gen_func_max	4
TOP.6144ec52.00063d22	user_options->rp_gen_func_min	1
TOP.6144ec52.00063d22	user_options->rp_gen_seed	0
TOP.6144ec52.00063d22	user_options->runtime	0
TOP.6144ec52.00063d22	user_options->scrypt_tmto	0
TOP.6144ec52.00063d22	user_options->segment_size	33554432
TOP.6144ec52.00063d22	user_options->self_test_disable	0
TOP.6144ec52.00063d22	user_options->slow_candidates	0
TOP.6144ec52.00063d22	user_options->show	0
TOP.6144ec52.00063d22	user_options->speed_only	0
TOP.6144ec52.00063d22	user_options->spin_damp	0
TOP.6144ec52.00063d22	user_options->status	0
TOP.6144ec52.00063d22	user_options->status_json	0
TOP.6144ec52.00063d22	user_options->status_timer	10
TOP.6144ec52.00063d22	user_options->stdout_flag	0
TOP.6144ec52.00063d22	user_options->usage	0
TOP.6144ec52.00063d22	user_options->username	0
TOP.6144ec52.00063d22	user_options->veracrypt_pim_start	485
TOP.6144ec52.00063d22	user_options->veracrypt_pim_stop	485
TOP.6144ec52.00063d22	user_options->version	0
TOP.6144ec52.00063d22	user_options->workload_profile	2
TOP.6144ec52.00063d22	user_options->brain_client	0
TOP.6144ec52.00063d22	user_options->brain_client_features	2
TOP.6144ec52.00063d22	user_options->brain_server	0
TOP.6144ec52.00063d22	user_options->brain_server_timer	300
TOP.6144ec52.00063d22	user_options->brain_port	6863
TOP.6144ec52.00063d22	user_options->brain_session	0
TOP.6144ec52.00063d22	hashes->hashfile	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\config_files\NTLM.hashes
TOP.6144ec52.00063d22	hashes->hashlist_mode	5
TOP.6144ec52.00063d22	hashes->hashlist_format	0
TOP.6144ec52.00063d22	hashes->hashes_cnt	0
TOP.6144ec52.00063d22	hashes->digests_cnt	3
